graph,n,m,density,avg_degree,max_degree,min_degree,std_degree,degree_skewness,degree_gini,max_over_avg_degree,degeneracy,avg_core,std_core,num_core_levels,frac_in_max_core,degeneracy_over_avg_deg,max_forward_degree,std_forward_degree
gen_small_009,15,30,0.28571429,4.0,6,1,1.2649,-0.5929,0.1622,1.5,3,2.8,0.5416,3,0.8667,0.75,4,1.3663
gen_small_010,22,34,0.14718615,3.0909,6,0,1.9048,-0.4853,0.3409,1.9412,5,2.9545,1.8703,5,0.2727,1.6176,5,1.5588
gen_small_011,17,101,0.74264706,11.8824,15,10,1.5674,0.3784,0.0734,1.2624,10,10.0,0.0,1,1.0,0.8416,13,3.5723
gen_small_012,22,3,0.01298701,0.2727,2,0,0.5378,1.8545,0.803,7.3333,1,0.2273,0.4191,2,0.2273,3.6667,1,0.3432
gen_small_013,21,19,0.09047619,1.8095,4,0,1.2196,0.2099,0.3759,2.2105,2,1.2857,0.6999,3,0.4286,1.1053,2,0.7499
gen_small_014,19,31,0.18128655,3.2632,7,0,1.6493,0.3502,0.2767,2.1452,2,1.8421,0.4881,3,0.8947,0.6129,4,1.3063
gen_small_015,22,89,0.38528139,8.0909,13,5,1.9979,0.4219,0.1374,1.6067,6,5.8636,0.3432,2,0.8636,0.7416,8,2.1633
gen_small_016,13,52,0.66666667,8.0,10,5,1.4142,-0.6527,0.0947,1.25,6,5.9231,0.2665,2,0.9231,0.75,8,2.5115
gen_small_017,24,207,0.75,17.25,22,13,2.2592,-0.1382,0.0737,1.2754,13,13.0,0.0,1,1.0,0.7536,17,5.1138
gen_small_018,18,4,0.02614379,0.4444,2,0,0.5984,0.9925,0.6528,4.5,1,0.3889,0.4875,2,0.3889,2.25,1,0.4157
gen_small_019,25,24,0.08,1.92,4,0,1.2937,0.1488,0.3783,2.0833,2,1.36,0.7419,3,0.52,1.0417,3,0.8709
gen_small_020,15,32,0.3047619,4.2667,6,3,0.8537,0.1038,0.1083,1.4062,5,4.1333,0.8055,3,0.4,1.1719,5,1.4545
gen_small_021,23,89,0.35177866,7.7391,12,2,2.4356,-0.4539,0.1759,1.5506,6,5.3913,0.9664,4,0.6087,0.7753,8,2.3647
gen_small_022,19,101,0.59064327,10.6316,14,7,1.9791,0.0693,0.1058,1.3168,8,7.9474,0.2233,2,0.9474,0.7525,13,3.8533
gen_small_023,24,204,0.73913043,17.0,21,13,2.2174,0.0229,0.0737,1.2353,14,13.9583,0.1998,2,0.9583,0.8235,17,5.1478
gen_small_024,17,2,0.01470588,0.2353,2,0,0.5455,2.2494,0.8529,8.5,1,0.1765,0.3812,2,0.1765,4.25,2,0.4706
gen_small_025,15,7,0.06666667,0.9333,3,0,0.8537,0.7704,0.4762,3.2143,1,0.6667,0.4714,2,0.6667,1.0714,1,0.4989
gen_small_026,25,60,0.2,4.8,10,2,1.8974,0.6395,0.218,2.0833,3,2.92,0.2713,2,0.92,0.625,8,2.1166
gen_small_027,21,81,0.38571429,7.7143,12,2,2.2284,-0.7751,0.1534,1.5556,6,5.619,0.9989,3,0.8571,0.7778,9,2.6419
gen_small_028,16,72,0.6,9.0,12,5,1.7678,-0.6109,0.1059,1.3333,7,6.6875,0.583,3,0.75,0.7778,8,2.5981
gen_small_029,14,75,0.82417582,10.7143,12,9,1.0302,-0.192,0.0533,1.12,9,9.0,0.0,1,1.0,0.84,9,3.1078
gen_tiny_000,9,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,0.0,0,0.0
gen_tiny_001,9,2,0.05555556,0.4444,1,0,0.4969,0.2236,0.5556,2.25,1,0.4444,0.4969,2,0.4444,2.25,1,0.4157
gen_tiny_002,10,6,0.13333333,1.2,2,0,0.7483,-0.3436,0.3333,1.6667,1,0.8,0.4,2,0.8,0.8333,2,0.6633
